id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10
51375,Women Tops & Tunics,10,black,regular,regular,printed,casual,short sleeves,regular sleeves,zari woven,regular sleeves,no
51376,Women Tops & Tunics,10,navy blue,fitted,crop,high,casual,default,solid,short sleeves,default,knitted
51377,Women Tops & Tunics,10,red,regular,regular,round neck,casual,printed,typography,sleeveless,sleeveless,no
51378,Women Tops & Tunics,10,default,fitted,crop,stylised,casual,solid,solid,short sleeves,regular sleeves,default
51379,Women Tops & Tunics,10,default,boxy,regular,round neck,casual,printed,typography,short sleeves,default,no
51380,Women Tops & Tunics,10,black,regular,crop,round neck,casual,printed,regular sleeves,short sleeves,regular sleeves,no
51381,Women Tops & Tunics,10,maroon,regular,regular,printed,casual,solid,regular sleeves,three-quarter sleeves,regular sleeves,no
51382,Women Tops & Tunics,10,white,fitted,regular,sweetheart neck,casual,solid,solid,short sleeves,puff sleeves,ruffles
51383,Women Tops & Tunics,10,default,fitted,regular,printed,casual,short sleeves,regular sleeves,zari woven,puff sleeves,no
51384,Women Tops & Tunics,10,green,boxy,crop,round neck,casual,printed,typography,long sleeves,regular sleeves,no
51385,Women Tops & Tunics,10,blue,regular,regular,v-neck,casual,solid,solid,long sleeves,regular sleeves,waist tie-ups
51386,Women Tops & Tunics,10,pink,fitted,regular,round neck,casual,printed,solid,short sleeves,regular sleeves,knitted
51387,Women Tops & Tunics,10,default,regular,regular,square neck,casual,solid,regular sleeves,short sleeves,regular sleeves,no
51388,Women Tops & Tunics,10,default,regular,regular,printed,casual,solid,solid,short sleeves,puff sleeves,no
51389,Women Tops & Tunics,10,black,regular,crop,printed,casual,short sleeves,regular sleeves,long sleeves,regular sleeves,no
51390,Women Tops & Tunics,10,pink,fitted,crop,printed,casual,short sleeves,regular sleeves,long sleeves,regular sleeves,knitted
51391,Women Tops & Tunics,10,black,regular,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,no
51392,Women Tops & Tunics,10,yellow,regular,crop,v-neck,casual,solid,solid,short sleeves,puff sleeves,knitted
51393,Women Tops & Tunics,10,red,fitted,crop,stylised,casual,solid,solid,short sleeves,regular sleeves,knitted
51394,Women Tops & Tunics,10,default,regular,regular,printed,casual,solid,solid,three-quarter sleeves,regular sleeves,knitted
51395,Women Tops & Tunics,10,default,fitted,regular,square neck,casual,short sleeves,regular sleeves,short sleeves,regular sleeves,no
51396,Women Tops & Tunics,10,default,default,regular,high,casual,short sleeves,solid,zari woven,regular sleeves,no
51397,Women Tops & Tunics,10,default,regular,regular,printed,casual,short sleeves,regular sleeves,zari woven,puff sleeves,no
51398,Women Tops & Tunics,10,default,regular,regular,v-neck,casual,solid,regular sleeves,zari woven,regular sleeves,knitted
51399,Women Tops & Tunics,10,default,regular,regular,printed,casual,short sleeves,regular sleeves,zari woven,default,no
51400,Women Tops & Tunics,10,default,fitted,regular,high,casual,short sleeves,regular sleeves,zari woven,regular sleeves,no
51401,Women Tops & Tunics,10,default,regular,regular,printed,casual,short sleeves,regular sleeves,zari woven,puff sleeves,no
51402,Women Tops & Tunics,10,blue,fitted,regular,high,casual,solid,solid,short sleeves,regular sleeves,knitted
51403,Women Tops & Tunics,10,default,regular,regular,high,casual,short sleeves,regular sleeves,zari woven,regular sleeves,no
51404,Women Tops & Tunics,10,pink,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,default
51405,Women Tops & Tunics,10,maroon,default,crop,high,casual,solid,solid,short sleeves,regular sleeves,knitted
