id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10
25778,Kurtis,9,black,straight,knee length,daily,net,solid,solid,three-quarter sleeves,regular,no
25779,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25780,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25781,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25782,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25783,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25784,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25785,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25786,Kurtis,9,maroon,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,no
25787,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25788,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,no
25789,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,no
25790,Kurtis,9,maroon,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,no
25791,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,short sleeves,regular,no
25792,Kurtis,9,green,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25793,Kurtis,9,maroon,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25794,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25795,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25796,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25797,Kurtis,9,navy blue,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,no
25798,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25799,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25800,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25801,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25802,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25803,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25804,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25805,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25806,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25807,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25808,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25809,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25810,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25811,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25812,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25813,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25814,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25815,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25816,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25817,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25818,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25819,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25820,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,no
25821,Kurtis,9,maroon,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,no
25822,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,no
25823,Kurtis,9,navy blue,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,no
25824,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,short sleeves,sleeveless,no
25825,Kurtis,9,green,straight,calf length,daily,default,solid,solid,three-quarter sleeves,regular,no
25826,Kurtis,9,default,regular,calf length,party,default,default,default,three-quarter sleeves,regular,no
25827,Kurtis,9,default,a-line,calf length,daily,default,default,default,three-quarter sleeves,regular,no
25828,Kurtis,9,default,a-line,calf length,printed,default,default,default,three-quarter sleeves,regular,no
25829,Kurtis,9,default,regular,calf length,party,default,default,default,three-quarter sleeves,regular,no
25830,Kurtis,9,black,a-line,knee length,printed,default,solid,solid,three-quarter sleeves,regular,no
25831,Kurtis,9,red,a-line,knee length,daily,default,solid,solid,three-quarter sleeves,regular,no
25832,Kurtis,9,red,straight,knee length,daily,net,solid,solid,short sleeves,regular,no
25833,Kurtis,9,navy blue,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,no
25834,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,no
25835,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,no
25836,Kurtis,9,maroon,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,no
25837,Kurtis,9,pink,regular,calf length,party,default,default,default,three-quarter sleeves,regular,no
25838,Kurtis,9,default,regular,calf length,party,default,default,default,three-quarter sleeves,regular,no
25839,Kurtis,9,navy blue,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,no
25840,Kurtis,9,red,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,no
25841,Kurtis,9,maroon,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,no
25842,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,no
25843,Kurtis,9,red,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,no
25844,Kurtis,9,maroon,straight,knee length,daily,net,solid,solid,three-quarter sleeves,regular,no
25845,Kurtis,9,maroon,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,no
25846,Kurtis,9,navy blue,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,no
25847,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,no
25848,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,no
25849,Kurtis,9,navy blue,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,no
25850,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,no
25851,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,no
25852,Kurtis,9,maroon,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,no
25853,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,short sleeves,sleeveless,no
25854,Kurtis,9,red,a-line,knee length,daily,default,solid,solid,three-quarter sleeves,regular,no
25855,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,short sleeves,sleeveless,no
25856,Kurtis,9,blue,a-line,knee length,daily,net,solid,solid,short sleeves,sleeveless,no
25857,Kurtis,9,black,regular,regular,party,default,default,default,three-quarter sleeves,regular,no
25858,Kurtis,9,green,regular,regular,party,default,default,default,three-quarter sleeves,regular sleeves,no
25859,Kurtis,9,purple,regular,regular,party,default,default,default,three-quarter sleeves,regular,no
25860,Kurtis,9,grey,regular,regular,party,default,default,default,three-quarter sleeves,regular,no
25861,Kurtis,9,yellow,regular,regular,party,default,default,default,three-quarter sleeves,regular,no
25862,Kurtis,9,pink,regular,regular,daily,default,default,default,three-quarter sleeves,regular,no
25863,Kurtis,9,green,regular,regular,party,default,default,default,three-quarter sleeves,regular,no
25864,Kurtis,9,red,regular,regular,party,default,default,default,three-quarter sleeves,regular,no
25865,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,short sleeves,regular,no
25866,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,no
25867,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,short sleeves,sleeveless,no
25868,Kurtis,9,green,straight,calf length,party,net,solid,solid,three-quarter sleeves,regular,no
25869,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,short sleeves,sleeveless,no
25870,Kurtis,9,blue,a-line,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25871,Kurtis,9,yellow,a-line,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25872,Kurtis,9,yellow,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25873,Kurtis,9,purple,a-line,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25874,Kurtis,9,pink,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25875,Kurtis,9,maroon,a-line,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25876,Kurtis,9,maroon,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25877,Kurtis,9,red,straight,calf length,daily,net,default,default,three-quarter sleeves,regular,no
25878,Kurtis,9,white,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no
25879,Kurtis,9,navy blue,straight,calf length,daily,net,default,default,three-quarter sleeves,regular,no
25880,Kurtis,9,black,straight,calf length,daily,net,default,default,three-quarter sleeves,regular,no
25881,Kurtis,9,pink,regular,regular,printed,default,default,default,three-quarter sleeves,regular,no
25882,Kurtis,9,multicolor,regular,regular,party,default,default,default,three-quarter sleeves,regular,no
25883,Kurtis,9,pink,regular,regular,party,default,default,default,three-quarter sleeves,regular,no
25884,Kurtis,9,blue,regular,regular,printed,default,default,default,three-quarter sleeves,regular,no
25885,Kurtis,9,green,regular,regular,party,default,default,default,three-quarter sleeves,regular,no
25886,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,no
25887,Kurtis,9,red,straight,knee length,daily,net,default,solid,three-quarter sleeves,regular,no
25888,Kurtis,9,maroon,straight,calf length,daily,net,default,default,three-quarter sleeves,regular,no
